letter,page,line_start,line_end,n_lines,image,status,confidence,note
301,2,21408,21423,16,Oe_1_Bu_9454_0539_a1-L301_02.jpg,auto,check,
302,1,21426,21457,32,Oe_1_Bu_9454_0540_a-L302_01.jpg,auto,check,
302,2,21459,21491,33,Oe_1_Bu_9454_0541_a-L302_02.jpg,auto,check,
303,1,21494,21510,17,Oe_1_Bu_9454_0542_a-L303_01.jpg,auto,check,
303,2,21512,21530,19,Oe_1_Bu_9454_0543_a1-L303_02.jpg,auto,check,
303,3,21532,21550,19,Oe_1_Bu_9454_0543_a2-L303_03.jpg,auto,check,
303,4,21552,21568,17,Oe_1_Bu_9454_0544_a1-L303_04.jpg,auto,check,
303,5,21570,21586,17,Oe_1_Bu_9454_0544_a2-L303_05.jpg,auto,check,
303,6,21588,21602,15,Oe_1_Bu_9454_0545_a1-L303_06.jpg,auto,check,
303,7,21604,21618,15,Oe_1_Bu_9454_0545_a2-L303_07.jpg,auto,check,
303,8,21620,21631,12,Oe_1_Bu_9454_0546_a1-L303_08.jpg,auto,check,
303,9,21633,21645,13,Oe_1_Bu_9454_0546_a2-L303_09.jpg,auto,check,
0,,,,,Oe_1_Bu_9454_0001_a-front.jpg,front_matter,n/a,not part of any letter
,,,,,Oe_1_Bu_9454_0356_a-notapage.jpg,dropped,n/a,not a manuscript page
,,,,,Oe_1_Bu_9454_0414_a-notapage.jpg,dropped,n/a,not a manuscript page
,,,,,Oe_1_Bu_9454_0454_a-notapage.jpg,dropped,n/a,not a manuscript page
,,,,,Oe_1_Bu_9454_0472_a-notapage.jpg,dropped,n/a,not a manuscript page
,,,,,Oe_1_Bu_9454_0476_a1-notapage.jpg,dropped,n/a,not a manuscript page
,,,,,Oe_1_Bu_9454_0345_a2-notext.jpg,image_no_text,n/a,"a list of calculation figures only - deliberately not transcribed, not a missing page"
